IdOrganizacao;IdParticipante;IdModelo;DataDoMovimento;TotalDoDocumentoFiscal;Operacao;Emissao;TipoDoFrete;NumeroSatEcf;QuantidadeDeDocumentos;TotalDoItem
42591651055479;CONSUMIDORFINAL3136702;2D;10012018;6732,1;Saida;Propria;Sem cobranca de frete;36;1;172,1
42591651055479;CONSUMIDORFINAL3136702;2D;10012018;6732,1;Saida;Propria;Sem cobranca de frete;36;1;2632,2
42591651055479;CONSUMIDORFINAL3136702;2D;11012018;6855,8;Saida;Propria;Sem cobranca de frete;36;1;4141
42591651055479;CONSUMIDORFINAL3136702;2D;11012018;6855,8;Saida;Propria;Sem cobranca de frete;36;1;72,5
42591651055479;CONSUMIDORFINAL3136702;2D;11012018;6855,8;Saida;Propria;Sem cobranca de frete;36;1;2642,3
42591651055479;CONSUMIDORFINAL3136702;2D;12012018;7870;Saida;Propria;Sem cobranca de frete;36;1;4299,5
42591651055479;CONSUMIDORFINAL3136702;2D;12012018;7870;Saida;Propria;Sem cobranca de frete;36;1;162,1
42591651055479;CONSUMIDORFINAL3136702;2D;12012018;7870;Saida;Propria;Sem cobranca de frete;36;1;3408,4
42591651055479;CONSUMIDORFINAL3136702;2D;13012018;10571,1;Saida;Propria;Sem cobranca de frete;36;1;5857,2
42591651055479;CONSUMIDORFINAL3136702;2D;13012018;10571,1;Saida;Propria;Sem cobranca de frete;36;1;272
42591651055479;CONSUMIDORFINAL3136702;2D;13012018;10571,1;Saida;Propria;Sem cobranca de frete;36;1;4441,9
42591651055479;CONSUMIDORFINAL3136702;2D;14012018;13714,1;Saida;Propria;Sem cobranca de frete;36;1;7804
42591651055479;CONSUMIDORFINAL3136702;2D;14012018;13714,1;Saida;Propria;Sem cobranca de frete;36;1;266,2
42591651055479;CONSUMIDORFINAL3136702;2D;14012018;13714,1;Saida;Propria;Sem cobranca de frete;36;1;5643,9
42591651055479;CONSUMIDORFINAL3136702;2D;15012018;7705,4;Saida;Propria;Sem cobranca de frete;36;1;4131,9
42591651055479;CONSUMIDORFINAL3136702;2D;15012018;7705,4;Saida;Propria;Sem cobranca de frete;36;1;248,7
42591651055479;CONSUMIDORFINAL3136702;2D;15012018;7705,4;Saida;Propria;Sem cobranca de frete;36;1;3324,8
42591651055479;CONSUMIDORFINAL3136702;2D;16012018;7140,4;Saida;Propria;Sem cobranca de frete;36;1;4178,7
42591651055479;CONSUMIDORFINAL3136702;2D;16012018;7140,4;Saida;Propria;Sem cobranca de frete;36;1;115,7
42591651055479;CONSUMIDORFINAL3136702;2D;16012018;7140,4;Saida;Propria;Sem cobranca de frete;36;1;2846
42591651055479;CONSUMIDORFINAL3136702;2D;17012018;6837,9;Saida;Propria;Sem cobranca de frete;36;1;3940,8
42591651055479;CONSUMIDORFINAL3136702;2D;17012018;6837,9;Saida;Propria;Sem cobranca de frete;36;1;199,4
42591651055479;CONSUMIDORFINAL3136702;2D;17012018;6837,9;Saida;Propria;Sem cobranca de frete;36;1;2697,7
42591651055479;CONSUMIDORFINAL3136702;2D;18012018;7511,3;Saida;Propria;Sem cobranca de frete;36;1;4282,8
42591651055479;CONSUMIDORFINAL3136702;2D;18012018;7511,3;Saida;Propria;Sem cobranca de frete;36;1;216,1
42591651055479;CONSUMIDORFINAL3136702;2D;18012018;7511,3;Saida;Propria;Sem cobranca de frete;36;1;3012,4
42591651055479;CONSUMIDORFINAL3136702;2D;19012018;7367,2;Saida;Propria;Sem cobranca de frete;36;1;4063,5
42591651055479;CONSUMIDORFINAL3136702;2D;19012018;7367,2;Saida;Propria;Sem cobranca de frete;36;1;183
42591651055479;CONSUMIDORFINAL3136702;2D;19012018;7367,2;Saida;Propria;Sem cobranca de frete;36;1;3120,7
42591651055479;CONSUMIDORFINAL3136702;2D;20012018;11236,9;Saida;Propria;Sem cobranca de frete;36;1;6619,3
42591651055479;CONSUMIDORFINAL3136702;2D;20012018;11236,9;Saida;Propria;Sem cobranca de frete;36;1;250,8
42591651055479;CONSUMIDORFINAL3136702;2D;20012018;11236,9;Saida;Propria;Sem cobranca de frete;36;1;4366,8
42591651055479;CONSUMIDORFINAL3136702;2D;21012018;13017,4;Saida;Propria;Sem cobranca de frete;36;1;7633,5
42591651055479;CONSUMIDORFINAL3136702;2D;21012018;13017,4;Saida;Propria;Sem cobranca de frete;36;1;310,4
42591651055479;CONSUMIDORFINAL3136702;2D;21012018;13017,4;Saida;Propria;Sem cobranca de frete;36;1;5073,5
42591651055479;CONSUMIDORFINAL3136702;2D;22012018;6337,1;Saida;Propria;Sem cobranca de frete;36;1;3687,6
42591651055479;CONSUMIDORFINAL3136702;2D;22012018;6337,1;Saida;Propria;Sem cobranca de frete;36;1;119,2
42591651055479;CONSUMIDORFINAL3136702;2D;22012018;6337,1;Saida;Propria;Sem cobranca de frete;36;1;2530,3
42591651055479;CONSUMIDORFINAL3136702;2D;23012018;6591,8;Saida;Propria;Sem cobranca de frete;36;1;3859,6
42591651055479;CONSUMIDORFINAL3136702;2D;23012018;6591,8;Saida;Propria;Sem cobranca de frete;36;1;215,7
42591651055479;CONSUMIDORFINAL3136702;2D;23012018;6591,8;Saida;Propria;Sem cobranca de frete;36;1;2516,5
42591651055479;CONSUMIDORFINAL3136702;2D;24012018;5964,6;Saida;Propria;Sem cobranca de frete;36;1;3733,2
42591651055479;CONSUMIDORFINAL3136702;2D;24012018;5964,6;Saida;Propria;Sem cobranca de frete;36;1;66,9
42591651055479;CONSUMIDORFINAL3136702;2D;24012018;5964,6;Saida;Propria;Sem cobranca de frete;36;1;2164,5
42591651055479;CONSUMIDORFINAL3136702;2D;25012018;7254;Saida;Propria;Sem cobranca de frete;36;1;4273,4
42591651055479;CONSUMIDORFINAL3136702;2D;25012018;7254;Saida;Propria;Sem cobranca de frete;36;1;104,3
42591651055479;CONSUMIDORFINAL3136702;2D;25012018;7254;Saida;Propria;Sem cobranca de frete;36;1;2876,3
42591651055479;CONSUMIDORFINAL3136702;2D;26012018;8179,2;Saida;Propria;Sem cobranca de frete;36;1;4394,6
42591651055479;CONSUMIDORFINAL3136702;2D;26012018;8179,2;Saida;Propria;Sem cobranca de frete;36;1;402,9
