organizaca;participante;dataMovimentoC420;dataMovimentoC490;valorTotalNFeC420;valorTotalNFeC490;operacao;emissao;modFrete;satECF;quantidade;valorTotalC420;valorTotalC490;cstICMS;CFOP;sufixoCFOP;aliquotaICMS;baseICMS;valorICMS
42591651055479;CONSUMIDORFINAL3136702;4012018;4012018;7.404;7.404;Saida;Propria;Sem cobranca de frete;36;1.0;2.788,9;2.788,9;60;5405;X.405;0.0;0.00;0
42591651055479;CONSUMIDORFINAL3136702;5012018;5012018;8.596;8.596;Saida;Propria;Sem cobranca de frete;36;1.0;5.035,9;5.035,9;0;5102;X.102;8.4;5035.90;423,02
42591651055479;CONSUMIDORFINAL3136702;5012018;;8.596;0;Saida;Propria;Sem cobranca de frete;36;1.0;22;0;;;;0.0;0;0
42591651055479;CONSUMIDORFINAL3136702;5012018;5012018;8.596;8.596;Saida;Propria;Sem cobranca de frete;36;1.0;3.538,1;3.538,1;60;5405;X.405;0.0;0.00;0
42591651055479;CONSUMIDORFINAL3136702;6012018;6012018;11.480,2;11.480,2;Saida;Propria;Sem cobranca de frete;36;1.0;6.454,3;6.454,3;0;5102;X.102;8.4;6454.30;542,16
42591651055479;CONSUMIDORFINAL3136702;6012018;;11.480,2;0;Saida;Propria;Sem cobranca de frete;36;1.0;301,9;0;;;;0.0;0;0
42591651055479;CONSUMIDORFINAL3136702;6012018;6012018;11.480,2;11.480,2;Saida;Propria;Sem cobranca de frete;36;1.0;4.724;4.724;60;5405;X.405;0.0;0.00;0
42591651055479;CONSUMIDORFINAL3136702;7012018;7012018;14.962,8;14.962,8;Saida;Propria;Sem cobranca de frete;36;1.0;8.460,7;8.460,7;0;5102;X.102;8.4;8460.70;710,7
42591651055479;CONSUMIDORFINAL3136702;7012018;;14.962,8;0;Saida;Propria;Sem cobranca de frete;36;1.0;398,1;0;;;;0.0;0;0
42591651055479;CONSUMIDORFINAL3136702;7012018;7012018;14.962,8;14.962,8;Saida;Propria;Sem cobranca de frete;36;1.0;6.104;6.104;60;5405;X.405;0.0;0.00;0
42591651055479;CONSUMIDORFINAL3136702;8012018;8012018;6.502,4;6.502,4;Saida;Propria;Sem cobranca de frete;36;1.0;3.785,2;3.785,2;0;5102;X.102;8.4;3785.20;317,96
42591651055479;CONSUMIDORFINAL3136702;8012018;;6.502,4;0;Saida;Propria;Sem cobranca de frete;36;1.0;262,5;0;;;;0.0;0;0
42591651055479;CONSUMIDORFINAL3136702;8012018;8012018;6.502,4;6.502,4;Saida;Propria;Sem cobranca de frete;36;1.0;2.454,7;2.454,7;60;5405;X.405;0.0;0.00;0
42591651055479;CONSUMIDORFINAL3136702;9012018;9012018;6.115,4;6.115,4;Saida;Propria;Sem cobranca de frete;36;1.0;3.564,7;3.564,7;0;5102;X.102;8.4;3564.70;299,43
42591651055479;CONSUMIDORFINAL3136702;9012018;;6.115,4;0;Saida;Propria;Sem cobranca de frete;36;1.0;221,5;0;;;;0.0;0;0
42591651055479;CONSUMIDORFINAL3136702;9012018;9012018;6.115,4;6.115,4;Saida;Propria;Sem cobranca de frete;36;1.0;2.329,2;2.329,2;60;5405;X.405;0.0;0.00;0
42591651055479;CONSUMIDORFINAL3136702;10012018;10012018;6.732,1;6.732,1;Saida;Propria;Sem cobranca de frete;36;1.0;3.927,8;3.927,8;0;5102;X.102;8.4;3927.80;329,94
42591651055479;CONSUMIDORFINAL3136702;10012018;;6.732,1;0;Saida;Propria;Sem cobranca de frete;36;1.0;172,1;0;;;;0.0;0;0
42591651055479;CONSUMIDORFINAL3136702;10012018;10012018;6.732,1;6.732,1;Saida;Propria;Sem cobranca de frete;36;1.0;2.632,2;2.632,2;60;5405;X.405;0.0;0.00;0
42591651055479;CONSUMIDORFINAL3136702;11012018;11012018;6.855,8;6.855,8;Saida;Propria;Sem cobranca de frete;36;1.0;4.141;4.141;0;5102;X.102;8.4;4141.00;347,84
42591651055479;CONSUMIDORFINAL3136702;11012018;;6.855,8;0;Saida;Propria;Sem cobranca de frete;36;1.0;72,5;0;;;;0.0;0;0
42591651055479;CONSUMIDORFINAL3136702;11012018;11012018;6.855,8;6.855,8;Saida;Propria;Sem cobranca de frete;36;1.0;2.642,3;2.642,3;60;5405;X.405;0.0;0.00;0
42591651055479;CONSUMIDORFINAL3136702;12012018;12012018;7.870;7.870;Saida;Propria;Sem cobranca de frete;36;1.0;4.299,5;4.299,5;0;5102;X.102;8.4;4299.50;361,16
42591651055479;CONSUMIDORFINAL3136702;12012018;;7.870;0;Saida;Propria;Sem cobranca de frete;36;1.0;162,1;0;;;;0.0;0;0
42591651055479;CONSUMIDORFINAL3136702;12012018;12012018;7.870;7.870;Saida;Propria;Sem cobranca de frete;36;1.0;3.408,4;3.408,4;60;5405;X.405;0.0;0.00;0
42591651055479;CONSUMIDORFINAL3136702;13012018;13012018;10.571,1;10.571,1;Saida;Propria;Sem cobranca de frete;36;1.0;5.857,2;5.857,2;0;5102;X.102;8.4;5857.20;492
42591651055479;CONSUMIDORFINAL3136702;13012018;;10.571,1;0;Saida;Propria;Sem cobranca de frete;36;1.0;272;0;;;;0.0;0;0
42591651055479;CONSUMIDORFINAL3136702;13012018;13012018;10.571,1;10.571,1;Saida;Propria;Sem cobranca de frete;36;1.0;4.441,9;4.441,9;60;5405;X.405;0.0;0.00;0
42591651055479;CONSUMIDORFINAL3136702;14012018;14012018;13.714,1;13.714,1;Saida;Propria;Sem cobranca de frete;36;1.0;7.804;7.804;0;5102;X.102;8.4;7804.00;655,54
42591651055479;CONSUMIDORFINAL3136702;14012018;;13.714,1;0;Saida;Propria;Sem cobranca de frete;36;1.0;266,2;0;;;;0.0;0;0
