IdOrganizacao;IdParticipante;IdCfop;IdModelo;DataDoMovimento;TotalDoDocumentoFiscal;Operacao;Emissao;CstICMS;AliquotaIcms;TipoDoFrete;SufixoDoCFOP;NumeroSatEcf;QuantidadeDeDocumentos;TotalDoItem;ValorIcms;BaseDeCalculoIcms
42591651055479;CONSUMIDORFINAL3136702;5405;2D;25012018;1344,9;Saida;Propria;60;0;Sem cobranca de frete;X.405;30;1;520,5;0;0
42591651055479;CONSUMIDORFINAL3136702;5102;2D;26012018;1778;Saida;Propria;0;8,4;Sem cobranca de frete;X.102;30;1;970,4;81,51;970,4
42591651055479;CONSUMIDORFINAL3136702;5405;2D;26012018;1778;Saida;Propria;60;0;Sem cobranca de frete;X.405;30;1;757,1;0;0
42591651055479;CONSUMIDORFINAL3136702;5405;2D;27012018;74,9;Saida;Propria;60;0;Sem cobranca de frete;X.405;30;1;17;0;0
42591651055479;CONSUMIDORFINAL3136702;5102;2D;27012018;74,9;Saida;Propria;0;8,4;Sem cobranca de frete;X.102;30;1;57,9;4,86;57,9
42591651055479;CONSUMIDORFINAL3136702;5405;2D;28012018;281,7;Saida;Propria;60;0;Sem cobranca de frete;X.405;30;1;153,6;0;0
42591651055479;CONSUMIDORFINAL3136702;5102;2D;28012018;281,7;Saida;Propria;0;8,4;Sem cobranca de frete;X.102;30;1;117,1;9,84;117,1
42591651055479;CONSUMIDORFINAL3136702;5102;2D;29012018;23,5;Saida;Propria;0;8,4;Sem cobranca de frete;X.102;30;1;8,5;0,71;8,5
42591651055479;CONSUMIDORFINAL3136702;5405;2D;29012018;23,5;Saida;Propria;60;0;Sem cobranca de frete;X.405;30;1;15;0;0
42591651055479;CONSUMIDORFINAL3136702;5102;2D;31012018;1403,4;Saida;Propria;0;8,4;Sem cobranca de frete;X.102;30;1;736,5;61,87;736,5
42591651055479;CONSUMIDORFINAL3136702;5405;2D;31012018;1403,4;Saida;Propria;60;0;Sem cobranca de frete;X.405;30;1;594,9;0;0
42591651055479;CONSUMIDORFINAL3136702;5405;2D;1012018;3899,2;Saida;Propria;60;0;Sem cobranca de frete;X.405;34;1;1198,3;0;0
42591651055479;CONSUMIDORFINAL3136702;5102;2D;1012018;3899,2;Saida;Propria;0;8,4;Sem cobranca de frete;X.102;34;1;2550,9;214,28;2550,9
42591651055479;CONSUMIDORFINAL3136702;5102;2D;2012018;394,6;Saida;Propria;0;8,4;Sem cobranca de frete;X.102;34;1;199,7;16,77;199,7
42591651055479;CONSUMIDORFINAL3136702;5405;2D;2012018;394,6;Saida;Propria;60;0;Sem cobranca de frete;X.405;34;1;175;0;0
42591651055479;CONSUMIDORFINAL3136702;5102;2D;3012018;2768,9;Saida;Propria;0;8,4;Sem cobranca de frete;X.102;34;1;1207,2;101,4;1207,2
42591651055479;CONSUMIDORFINAL3136702;5405;2D;3012018;2768,9;Saida;Propria;60;0;Sem cobranca de frete;X.405;34;1;1272,6;0;0
42591651055479;CONSUMIDORFINAL3136702;5102;2D;4012018;2578,8;Saida;Propria;0;8,4;Sem cobranca de frete;X.102;34;1;1157,5;97,23;1157,5
42591651055479;CONSUMIDORFINAL3136702;5405;2D;4012018;2578,8;Saida;Propria;60;0;Sem cobranca de frete;X.405;34;1;1352,1;0;0
42591651055479;CONSUMIDORFINAL3136702;5405;2D;5012018;3251,2;Saida;Propria;60;0;Sem cobranca de frete;X.405;34;1;1521;0;0
42591651055479;CONSUMIDORFINAL3136702;5102;2D;5012018;3251,2;Saida;Propria;0;8,4;Sem cobranca de frete;X.102;34;1;1587,4;133,34;1587,4
42591651055479;CONSUMIDORFINAL3136702;5102;2D;6012018;3946,1;Saida;Propria;0;8,4;Sem cobranca de frete;X.102;34;1;1883,6;158,22;1883,6
